address,latitude,longitude,Bank
BANDARA SEPINGGAN 2 BANDARA SEPINGGAN AREA INTERNASIONAL JL MARSMA R ISWAHYUDI BALIKPAPAN,-1.261800000,116.897300000,BCA
INDOMARET SYARIFUDIN YOES BALIKPAPAN JL SYARIFUDIN YOES BALIKPAPAN,-1.231500000,116.888300000,BCA
BALIKPAPAN REGENCY JL KOL SYARIFUDDIN RING ROAD II BALIKPAPAN,-1.229600000,116.891200000,BCA
ALFAMIDI SEPINGGAN BARU CRM 1 JL SEPINGGAN BARU BALIKPAPAN,-1.252550000,116.904865000,BCA
ALFAMIDI SOEKARNO HATTA BALIKPAPAN CRM 1 JL SOEKARNO HATTA KM 8 TR 61,-1.200200000,116.883800000,BCA
MAXI MINI MARKET JL MULAWARMAN(RKAT : JL SEPINGGAN BALIKPAPAN,-1.259000000,116.914000000,BCA
PT EKA DHARMA JAYA SAKTI II JL PENDEKAT PULAU BALANG KM 13 KEL KARANG JOANG,-1.163100000,116.874300000,BCA
INDOMARET MULAWARMAN BALIKPAPAN JL MULAWARMAN RT23 SEPINGGAN BALIKPAPAN,-1.253700000,116.928100000,BCA
"PT SUMBER KALIMANTAN ABADI CRM 1 JL MULAWARMAN NO 99 MANGGAR, BALIKPAPAN",-1.233505000,116.955784000,BCA
MAXI SWALAYAN MANGGAR JL MULAWARWAN NO 8 (MANGGAR) BALIKPAPAN,-1.224000000,116.964400000,BCA
INDOMARET AHMAD YANI TANJUNG BALAI CRM 1 JL JEND A YANI NO 73 ASAHAN SUMATERA UTARA,2.905812000,99.805519000,BCA
INDOMARET BALIGE TOBA SAMOSIR JL SISINGAMANGARAJA KEL BALIGE 1 KEC BALIGE,2.333951300,99.066865500,BCA
TANJUNG BALAI CRM 1 JL SISINGAMANGARAJA12-16 - TANJUNG BALAI,2.960337072,99.802569250,BCA
TANJUNG BALAI CRM 2 JL SISINGAMANGARAJA12-16 - TANJUNG BALAI,2.960337072,99.802569250,BCA
TANJUNG BALAI CRM 3 JL SISINGAMANGARAJA12-16 - TANJUNG BALAI,2.960337072,99.802569250,BCA
"BANDARA SILANGIT 1 SIBORONG BORONG, SILANDO, TAPANULI UTARA",2.263060600,98.984099600,BCA
KISARAN CRM 1 JL COKROAMINOTO NO 28 KISARAN,2.965110000,99.803759000,BCA
KISARAN CRM 2 JL COKROAMINOTO NO 28 KISARAN,2.965110000,99.803759000,BCA
KISARAN CRM 3 JL COKROAMINOTO NO 28 KISARAN,2.965110000,99.803759000,BCA
KISARAN CRM 4 JL COKROAMINOTO NO 28 KISARAN,2.965110000,99.803759000,BCA
"PT SINTONG ABADI DS I HESSA AIR GENTING KEC AIR BATU, KISARAN, KAB ASAHAN",2.963682200,99.633992400,BCA
SPBU 14212293 PT TANINDO ABADI NUGRAHA UTAMA JL IMAM BONJOL NO 317 KISARAN,2.977710000,99.630152300,BCA
RS SETIO HUSODO JL SISINGAMANGARAJA 67 KISARAN,2.985415000,99.630244200,BCA
ALFAMIDI PESUT JL PESUT TENGGARONG KUTAI KARTANEGARA,-0.438500000,116.988300000,BCA
"TENGGARONG CRM 1 JL WOLTER MONGINSIDI NO 52A, TENGGARONG",-0.460664000,117.006858000,BCA
"TENGGARONG CRM 2 JL WOLTER MONGINSIDI NO 52A, TENGGARONG",-0.460664000,117.006858000,BCA
"TENGGARONG CRM 3 JL WOLTER MONGINSIDI NO 52A, TENGGARONG",-0.460664000,117.006858000,BCA
"TENGGARONG CRM 4 JL WOLTER MONGINSIDI NO 52A, TENGGARONG",-0.460664000,117.006858000,BCA
ALFAMIDI JAKARTA SMD JL JAKARTA KEC SUNGAI KUNJANG SAMARINDA,-0.528800000,117.091900000,BCA
"ALFAMIDI JAKARTA II SAMARINDA JL JAKARTA RT 72, LOA BAKUNG, SUNGAI KUNJANG, SAMARINDA",-0.517300000,117.092300000,BCA
